"2
",,,,перечень сигналов ивановская тэц-2,,2135,,1044,508,580,3,965,75,KKS параметра,Питание датчика,KKS механизма,min,max,Ед.изм,"Участие
в задачах",Примечание
,,,,Давление на напоре НАБ-2 низко,дискретный,исходящий,?,,1,,,,0,N2NDE02CP002ZM04,,,,,,АВР,
,,,,Шаровый кран 5ПТА-2 на напоре насоса закрыт,дискретный,исходящий,?,,1,,,,0,N2NDE02AA002ZB02,,,,,,"ДУ, ФГУ",
,,,,Технологическая защита НАБ-2 сработала,дискретный,исходящий,?,,1,,,,0,N2CHY02EZ010ZK01,,,,,,"ТЗ, ДУ",
,,,Насос НАБ-2,Ток электродвигателя,цифровой,входящий,RS485 Modbus RTU,,,,,1,1,N2NDE02CE012,,N2NDE02AP001,0,500,А,,
,,,,"Назначен режим ""рабочий""",цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2NDE02AP001XB31,,,,,,ДУ,
,,,,"Назначен режим ""резервный""",цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2NDE02AP001XB32,,,,,,ДУ,
,,,,"Назначен режим ""ремонт""",цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2NDE02AP001XB33,,,,,,ДУ,
,,,,Работа от ПЧ,цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2NDE02AP001XB35,,,,,,ДУ,
,,,,Работа от сети,цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2NDE02AP001XB36,,,,,,ДУ,
,,,,Авария,цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2NDE02AP001XB46,,,,,,ДУ,
,,,,Насос включен,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE02AP001XB01,,,,,,ДУ,
,,,,Насос отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE02AP001XB02,,,,,,ДУ,
,,,Шаровый кран 4ПТА-2 на всасе насоса,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE02AA001XB51,,N2NDE02AA001,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE02AA001XB52,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE02AA001XL1,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE02AA001XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,N2NDE02AA001YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,N2NDE02AA001YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,N2NDE02AA001YB03,,,,,,ДУ,н.з.контакт
,,,Шаровый кран 5ПТА-2 на напоре насоса,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE02AA002XB51,,N2NDE02AA002,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE02AA002XB52,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE02AA002XL1,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE02AA002XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,N2NDE02AA002YB01,,,,,,"ДУ, ФГУ",
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,N2NDE02AA002YB02,,,,,,"ДУ, ФГУ",
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,N2NDE02AA002YB03,,,,,,"ДУ, ФГУ",н.з.контакт
,АСУ ТП НАБ,"ШУ НАБ-1, НАБ-2",,Выходная частота ЧРП,цифровой,входящий,RS485 Modbus RTU,,,,,1,1,N2CUB01CE015,,N2CUB01,0,100,Гц,,
,,,,"Задание для ЧРП НАБ-1,2",цифровой,исходящий,RS485 Modbus RTU,,,,,1,,N2CUB01DP001,,,,,,"АР, ДУ",
,,,,"Назначен режим управления ""автоматический""",цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2CUB01GU001XB38,,,,,,ДУ,
,,,,"Назначен режим управления ""ручной""",цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2CUB01GU001XB39,,,,,,ДУ,
,,,,"Пуск насосной группы НАБ-1, НАБ-2",дискретный,исходящий,?,,1,,,,0,N2CUB01GU001YB01,,,,,,"ТБ, ДУ",
,,,,"Стоп насосной группы НАБ-1, НАБ-2",дискретный,исходящий,?,,1,,,,0,N2CUB01GU001YB02,,,,,,"ТЗ, ДУ",
,АСУ ТП НАБ,Насос НАБ-3,,Давление на всасе НАБ-3,аналоговый,входящий,4-20мА,,,1,,,0,N2NDE03CP001,,,-1,3,кгс/см²,,
,,,,Давление на напоре НАБ-3,аналоговый,входящий,4-20мА,,,1,,,0,N2NDE03CP002,,,0,10,кгс/см²,,
,,,,Давление на всасе НАБ-3 норма,дискретный,исходящий,?,,1,,,,0,N2NDE03CP001ZM52,,,,,,"ДУ, ФГУ",
,,,,Давление на напоре НАБ-3 низко,дискретный,исходящий,?,,1,,,,0,N2NDE03CP002ZM04,,,,,,АВР,
,,,,Шаровый кран 5ПТА-3 на напоре насоса закрыт,дискретный,исходящий,?,,1,,,,0,N2NDE03AA002ZB02,,,,,,"ДУ, ФГУ",
,,,,Технологическая защита НАБ-3 сработала,дискретный,исходящий,?,,1,,,,0,N2CHY03EZ010ZK01,,,,,,"ТЗ, ДУ",
,,,Насос НАБ-3,Ток электродвигателя,цифровой,входящий,RS485 Modbus RTU,,,,,1,1,N2NDE03CE012,,N2NDE03AP001,0,500,А,,
,,,,"Назначен режим ""рабочий""",цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2NDE03AP001XB31,,,,,,ДУ,
,,,,"Назначен режим ""резервный""",цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2NDE03AP001XB32,,,,,,ДУ,
,,,,"Назначен режим ""ремонт""",цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2NDE03AP001XB33,,,,,,ДУ,
,,,,Работа от ПЧ,цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2NDE03AP001XB35,,,,,,ДУ,
,,,,Работа от сети,цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2NDE03AP001XB36,,,,,,ДУ,
,,,,Авария,цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2NDE03AP001XB46,,,,,,ДУ,
,,,,Насос включен,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE03AP001XB01,,,,,,ДУ,
,,,,Насос отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE03AP001XB02,,,,,,ДУ,
,,,Шаровый кран 4ПТА-3 на всасе насоса,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE03AA001XB51,,N2NDE03AA001,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE03AA001XB52,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE03AA001XL1,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE03AA001XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,N2NDE03AA001YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,N2NDE03AA001YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,N2NDE03AA001YB03,,,,,,ДУ,н.з.контакт
,,,Шаровый кран 5ПТА-3 на напоре насоса,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE03AA002XB51,,N2NDE03AA002,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE03AA002XB52,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE03AA002XL1,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE03AA002XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,N2NDE03AA002YB01,,,,,,"ДУ, ФГУ",
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,N2NDE03AA002YB02,,,,,,"ДУ, ФГУ",
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,N2NDE03AA002YB03,,,,,,"ДУ, ФГУ",н.з.контакт
,АСУ ТП НАБ,Насос НАБ-4,,Давление на всасе НАБ-4,аналоговый,входящий,4-20мА,,,1,,,0,N2NDE04CP001,,,-1,3,кгс/см²,,
,,,,Давление на напоре НАБ-4,аналоговый,входящий,4-20мА,,,1,,,0,N2NDE04CP002,,,0,10,кгс/см²,,
,,,,Давление на всасе НАБ-4 норма,дискретный,исходящий,?,,1,,,,0,N2NDE04CP001ZM52,,,,,,"ДУ, ФГУ",
,,,,Давление на напоре НАБ-4 низко,дискретный,исходящий,?,,1,,,,0,N2NDE04CP002ZM04,,,,,,АВР,
,,,,Шаровый кран 5ПТА-4 на напоре насоса закрыт,дискретный,исходящий,?,,1,,,,0,N2NDE04AA002ZB02,,,,,,"ДУ, ФГУ",
,,,,Технологическая защита НАБ-4 сработала,дискретный,исходящий,?,,1,,,,0,N2CHY04EZ010ZK01,,,,,,"ТЗ, ДУ",
,,,Насос НАБ-4,Ток электродвигателя,цифровой,входящий,RS485 Modbus RTU,,,,,1,1,N2NDE04CE012,,N2NDE04AP001,0,500,А,,
,,,,"Назначен режим ""рабочий""",цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2NDE04AP001XB31,,,,,,ДУ,
,,,,"Назначен режим ""резервный""",цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2NDE04AP001XB32,,,,,,ДУ,
,,,,"Назначен режим ""ремонт""",цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2NDE04AP001XB33,,,,,,ДУ,
,,,,Работа от ПЧ,цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2NDE04AP001XB35,,,,,,ДУ,
,,,,Работа от сети,цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2NDE04AP001XB36,,,,,,ДУ,
,,,,Авария,цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2NDE04AP001XB46,,,,,,ДУ,
,,,,Насос включен,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE04AP001XB01,,,,,,ДУ,
,,,,Насос отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE04AP001XB02,,,,,,ДУ,
,,,Шаровый кран 4ПТА-4 на всасе насоса,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE04AA001XB51,,N2NDE04AA001,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE04AA001XB52,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE04AA001XL1,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE04AA001XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,N2NDE04AA001YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,N2NDE04AA001YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,N2NDE04AA001YB03,,,,,,ДУ,н.з.контакт
,,,Шаровый кран 5ПТА-4 на напоре насоса,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE04AA002XB51,,N2NDE04AA002,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE04AA002XB52,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE04AA002XL1,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2NDE04AA002XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,N2NDE04AA002YB01,,,,,,"ДУ, ФГУ",
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,N2NDE04AA002YB02,,,,,,"ДУ, ФГУ",
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,N2NDE04AA002YB03,,,,,,"ДУ, ФГУ",н.з.контакт
,АСУ ТП НАБ,"ШУ НАБ-3, НАБ-4",,Выходная частота ЧРП,цифровой,входящий,RS485 Modbus RTU,,,,,1,1,N2CUB02CE015,,N2CUB02GU001,0,100,Гц,,
,,,,"Задание для ЧРП НАБ-3,4",цифровой,исходящий,RS485 Modbus RTU,,,,,1,,N2CUB02DP001,,,,,,"АР, ДУ",
,,,,"Назначен режим управления ""автоматический""",цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2CUB02GU001XB38,,,,,,ДУ,
,,,,"Назначен режим управления ""ручной""",цифровой,входящий,RS485 Modbus RTU,,,,,1,,N2CUB02GU001XB39,,,,,,ДУ,
,,,,"Пуск насосной группы НАБ-3, НАБ-4",дискретный,исходящий,?,,1,,,,0,N2CUB02GU001YB01,,,,,,"ТБ, ДУ",
,,,,"Стоп насосной группы НАБ-3, НАБ-4",дискретный,исходящий,?,,1,,,,0,N2CUB02GU001YB02,,,,,,"ТЗ, ДУ",
,АСУ ТП НАБ,Резервуар для хранения герметизирующей жидкости,,Уровень герметизирующей жидкости в резервуаре хранения,аналоговый,входящий,4-20мА,,,1,,,0,N2NDV10CL001,,,0,3.2,М,,
,АСУ ТП НАБ,Помещение НАБ,,Температура воздуха в машзале НАБ,аналоговый,входящий,4-20мА,,,1,,,0,N2UNC01CT001,,,-50,100,°C,,
,,,,Температура воздуха в помещении управления НАБ,аналоговый,входящий,4-20мА,,,1,,,0,N2UNC02CT001,,,-50,100,°C,,
,АСУ ТП НАБ,Сборка задвижек НАБ,,Неисправность шкафа ввода Ш-1 сборки задвижек,дискретный,входящий,"220В, 50Гц",1,,,,,0,N2CDA01GH001XM01,,N2CDA01GH001,,,,ПС,
,АСУ ТП НАБ,Шкаф ПТК,,Питание ввода №1 в норме,дискретный,входящий,=24В,1,,,,,0,N2CJU01GH001,,,,,,ПС,
,,,,Ввод 1 включен,дискретный,входящий,=24В,1,,,,,0,N2CJU01GH003,,,,,,ПС,
,,,,Питание ИБП в норме,дискретный,входящий,=24В,1,,,,,0,N2CJU01GH005,,,,,,ПС,
,,,,Питание цепей внешних сигналов включено,дискретный,входящий,=24В,1,,,,,0,N2CJU01GH006,,,,,,ПС,
,,,,Питание цепей внутренних сигналов включено,дискретный,входящий,=24В,1,,,,,0,N2CJU01GH007,,,,,,ПС,
,,,,Питание датчиков 220В включено,дискретный,входящий,=24В,1,,,,,0,N2CJU01GH008,,,,,,ПС,
,,,,Дверь шкафа открыта,дискретный,входящий,=24В,1,,,,,0,N2CJU01GH009,,,,,,ПС,
,АСУ ГРП-1,ГРП-1,,Давление после заслонки №1 (11а),аналоговый,входящий,4-20мА,,,1,,,0,E1EKD01CP001,,,0,2.5,кгс/см²,"АР, Р",
,,,,Давление после заслонки №2 (12а),аналоговый,входящий,4-20мА,,,1,,,0,E1EKD02CP001,,,0,2.5,кгс/см²,"АР, Р",
,,,,Давление на выходе ГРП-1 (13а),аналоговый,входящий,4-20мА,,,1,,,0,E1EKG01CP001,,,0,2.5,кгс/см²,"ПС, ТЗ, Р",
,,,,Давление на входе ГРП-1 (14а),аналоговый,входящий,4-20мА,,,1,,,0,E1EKA01CP001,,,0,6.0,кгс/см²,"ПС, ТЗ, Р",
,,,,Температура на выходе ГРП-1 (15а),аналоговый,входящий,"100П, 4-х пр.",,,1,,,0,E1EKG01CT101,,,-50,200.0,°C,Р,
,,,,Температура на входе ГРП-1 (16а),аналоговый,входящий,"100П, 4-х пр.",,,1,,,0,E1EKA01CT101,,,-50,200.0,°C,Р,
,,,,Давление до фильтра №1,аналоговый,входящий,4-20мА,,,1,,,0,E1EKE10CP001,".=24В, 0.5Вт",,0,6.0,кгс/см²,ПС,
,,,,Давление после фильтра №1,аналоговый,входящий,4-20мА,,,1,,,0,E1EKE10CP002,".=24В, 0.5Вт",,0,6.0,кгс/см²,ПС,
,,,Регулирующая заслонка №1,Положение ИМ,аналоговый,входящий,4-20мА,,,1,,,0,E1EKD01CG801,,E1EKD01AA801,0,100.0,%,"АР, Р",
,,,,Закрыто,дискретный,входящий,=24В,1,,,,,0,E1EKD01AA801XC02,,,,,,"АР,ДУ",
,,,,Открыто,дискретный,входящий,=24В,1,,,,,0,E1EKD01AA801XC01,,,,,,"АР,ДУ",
,,,,Больше,дискретный,исходящий,=24В,,1,,,,0,E1EKD01AA801YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,=24В,,1,,,,0,E1EKD01AA801YC02,,,,,,"АР,ДУ",
,,,Регулирующая заслонка №2,Положение ИМ,аналоговый,входящий,4-20мА,,,1,,,0,E1EKD02CG801,,E1EKD02AA801,0,100.0,%,"АР, Р",
,,,,Закрыто,дискретный,входящий,=24В,1,,,,,0,E1EKD02AA801XC02,,,,,,"АР,ДУ",
,,,,Открыто,дискретный,входящий,=24В,1,,,,,0,E1EKD02AA801XC01,,,,,,"АР,ДУ",
,,,,Больше,дискретный,исходящий,=24В,,1,,,,0,E1EKD02AA801YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,=24В,,1,,,,0,E1EKD02AA801YC02,,,,,,"АР,ДУ",
,,,Задвижка 2-Г,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,E1EKA01AA001XB51,,E1EKA01AA001,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,E1EKA01AA001XB52,,,,,,ДУ,
,,,,Превышение момента,дискретный,входящий,"220В, 50Гц",1,,,,,0,E1EKA01AA001XB04,,,,,,"ДУ,ПС",
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,E1EKA01AA001XL01,,,,,,ДУ,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,E1EKA01AA001YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,E1EKA01AA001YB02,,,,,,"ТЗ,ДУ",
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,E1EKA01AA001YB03,,,,,,ДУ,
,,,Задвижка 3-Г,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,E1EKG11AA001XB51,,E1EKG11AA001,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,E1EKG11AA001XB52,,,,,,ДУ,
,,,,Превышение момента,дискретный,входящий,"220В, 50Гц",1,,,,,0,E1EKG11AA001XB04,,,,,,"ДУ,ПС",
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,E1EKG11AA001XL01,,,,,,ДУ,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,E1EKG11AA001YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,E1EKG11AA001YB02,,,,,,"ТЗ,ДУ",
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,E1EKG11AA001YB03,,,,,,ДУ,
,,,Дисковый затвор ГК-1,Открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,E1EKG12AA001XB01,,E1EKG12AA001,,,,ДУ,
,,,,Закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,E1EKG12AA001XB02,,,,,,ДУ,
,,,,Превышение момента,дискретный,входящий,"220В, 50Гц",1,,,,,0,E1EKG12AA001XB04,,,,,,"ДУ,ПС",
,,,,Готовность,дискретный,входящий,"220В, 50Гц",1,,,,,0,E1EKG12AA001XB10,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,E1EKG12AA001XL01,,,,,,ДУ,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,E1EKG12AA001YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,E1EKG12AA001YB02,,,,,,"ТЗ,ДУ",
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,E1EKG12AA001YB03,,,,,,ДУ,
,,,Сигнализатор газов СТМ-10,"Загазованность в ГРП, 1 порог",дискретный,входящий,"220В, 50Гц",1,,,,,0,E1UEN01CQ001XG01,,E1UEN01CQ001,,,,ПС,
,,,,"Загазованность в ГРП, 2 порог",дискретный,входящий,"220В, 50Гц",1,,,,,0,E1UEN01CQ001XG03,,,,,,ПС,
,,,Дифф. манометр электроконтактный Элемер-АИР-30,Засорение фильтра №1,дискретный,входящий,"220В, 50Гц",1,,,,,0,E1EKE01CP151XG01,,E1EKE01CP151,,,,ПС,
,,,,Засорение фильтра №2,дискретный,входящий,"220В, 50Гц",1,,,,,0,E1EKE02CP151XG01,,E1EKE02CP151,,,,ПС,
,,,,Пожарная сигнализация сработала,дискретный,входящий,=24В,1,,,,,0,E1CYE01CH001XM01,,E1CYE01CH001,,,,ПС,
,АСУ ГРП-1,Сборка задвижек ГРП-1,,Неисправность шкафа сборки задвижек,дискретный,входящий,"220В, 50Гц",1,,,,,0,E1CDA01GH002XM01,,E1CDA01GH002,,,,ПС,
,АСУ ГРП-1,Шкаф ПТК,,Питание ввода №1 в норме,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Питание ввода №2 в норме,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Ввод 1 включен,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Ввод 2 включен,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Питание ИБП в норме,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Питание цепей внешних сигналов включено,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Питание цепей внутренних сигналов включено,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Питание датчиков 220В включено,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,,,,Дверь шкафа открыта,дискретный,входящий,=24В,1,,,,,0,,,,,,,ПС,
,АСУ ГРП-2,ГРП-2,,Давление после клапана ЗР-1,аналоговый,входящий,4-20мА,,,1,,,0,E2EKD01CP001,".=24В, 0.5Вт",,0,2.5,кгс/см²,"АР, Р",
,,,,Давление после клапана ЗР-2,аналоговый,входящий,4-20мА,,,1,,,0,E2EKD02CP001,".=24В, 0.5Вт",0,0,2.5,кгс/см²,"АР, Р",
,,,,Давление на входе ГРП-2,аналоговый,входящий,4-20мА,,,1,,,0,E2EKA01CP001,".=24В, 0.5Вт",,0,10.0,кгс/см²,"ПС, ТЗ, Р",
,,,,Давление на выходе ГРП-2,аналоговый,входящий,4-20мА,,,1,,,0,E2EKG01CP001,".=24В, 0.5Вт",,0,2.5,кгс/см²,"ПС, ТЗ, Р",
,,,,Давление на выходе ГРП-2,аналоговый,входящий,4-20мА,,,1,,,0,E2EKG01CP002,".=24В, 0.5Вт",,0,2.5,кгс/см²,"ПС, ТЗ, Р",
,,,,Давление на выходе ГРП-2,аналоговый,входящий,4-20мА,,,1,,,0,E2EKG01CP003,".=24В, 0.5Вт",,0,2.5,кгс/см²,"ПС, ТЗ, Р",
,,,,Температура на входе в ГРП-2,аналоговый,входящий,"100П, 4-х пр.",,,1,,,0,E2EKA01CT101,,,-50,305.0,°C,Р,
,,,,Температура на выходе ГРП-2,аналоговый,входящий,"100П, 4-х пр.",,,1,,,0,E2EKG01CT101,,,-50,350.0,°C,Р,
,,,Регулирующий клапан ЗР-1 (линия 1),Положение ИМ,аналоговый,входящий,4-20мА,,,1,,,0,E2EKD01CG801,,,0,100.0,%,"АР, Р",
,,,,Не открыто,дискретный,входящий,=24В,1,,,,,0,E2EKD01AA801XC51,,E2EKD01AA801,,,,"АР,ДУ",
,,,,Не закрыто,дискретный,входящий,=24В,1,,,,,0,E2EKD01AA801XC52,,,,,,"АР,ДУ",
,,,,Неисправность,дискретный,входящий,=24В,1,,,,,0,E2EKD01AA801ХС57,,,,,,ПС,
,,,,Готовность,дискретный,входящий,=24В,1,,,,,0,E2EKD01AA801ХС10,,,,,,"АР,ДУ",
,,,,Автоматический выключатель отключен,дискретный,входящий,=24В,1,,,,,0,E2EKD01AA801ХM01,,,,,,ПС,
,,,,Больше,дискретный,исходящий,=24В,,1,,,,0,E2EKD01AA801YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,=24В,,1,,,,0,E2EKD01AA801YC02,,,,,,"АР,ДУ",
,,,Регулирующий клапан ЗР-1 (линия 2),Положение ИМ,аналоговый,входящий,4-20мА,,,1,,,0,E2EKD02CG801,,,0,100.0,%,"АР, Р",
,,,,Не открыто,дискретный,входящий,=24В,1,,,,,0,E2EKD02AA801XC51,,E2EKD02AA801,,,,"АР,ДУ",
,,,,Не закрыто,дискретный,входящий,=24В,1,,,,,0,E2EKD02AA801XC52,,,,,,"АР,ДУ",
,,,,Неисправность,дискретный,входящий,=24В,1,,,,,0,E2EKD02AA801XC57,,,,,,ПС,
,,,,Готовность,дискретный,входящий,=24В,1,,,,,0,E2EKD02AA801XC10,,,,,,"АР,ДУ",
,,,,Автоматический выключатель отключен,дискретный,входящий,=24В,1,,,,,0,E2EKD02AA801XM01,,,,,,ПС,
,,,,Больше,дискретный,исходящий,=24В,,1,,,,0,E2EKD02AA801YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,=24В,,1,,,,0,E2EKD02AA801YC02,,,,,,"АР,ДУ",
,,,Задвижка 2-13Г на входе линии 1,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,E2EKD01AA001XB51,,E2EKD01AA001,,,,"ДУ,ФГУ",
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,E2EKD01AA001XB52,,,,,,"ДУ,ФГУ",
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,E2EKD01AA001XM01,,,,,,ПС,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,E2EKD01AA001XL01,,,,,,ДУ,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,E2EKD01AA001YB01,,,,,,"ТЗ,ДУ,ФГУ",
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,E2EKD01AA001YB02,,,,,,"ТЗ,ДУ,ФГУ",
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,E2EKD01AA001YB03,,,,,,"ТЗ,ДУ,ФГУ",
,,,Задвижка 2-14Г на выходе линии 1,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,E2EKD01AA002XB51,,E2EKD01AA002,,,,"ДУ,ФГУ",
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,E2EKD01AA002XB52,,,,,,"ДУ,ФГУ",
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,E2EKD01AA002XM01,,,,,,ПС,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,E2EKD01AA002XL01,,,,,,ДУ,
